iter	MAE
0	0.890901
1	0.8787975178
2	0.866985695
3	0.8555611353
4	0.8441704884
5	0.8331938389
6	0.82258702
7	0.8122997222
8	0.8022246872
9	0.7923578981
10	0.7827343248
11	0.7734204722
12	0.7641609451
13	0.7552759406
14	0.7466556979
15	0.7381685606
16	0.7299990198
17	0.7218611284
18	0.7141671007
19	0.7066233506
20	0.6993738348
21	0.6923166465
22	0.6854202812
23	0.6787568422
24	0.6720541736
25	0.6655099152
26	0.659408291
27	0.6535799134
28	0.6474898523
29	0.6417030174
30	0.6360490627
31	0.6305739337
32	0.6254669844
33	0.6204909927
34	0.6156246444
35	0.6108440815
36	0.6062534917
37	0.6017464747
38	0.5973634693
39	0.5930642003
40	0.5891139567
41	0.5851558972
42	0.5813186518
43	0.5776266984
44	0.5741724927
45	0.5706093497
46	0.5672173798
47	0.5639472952
48	0.560717447
49	0.5578186251
50	0.5549949353
51	0.5520913129
52	0.5492957963
53	0.5465455762
54	0.5438071324
55	0.5411950948
56	0.5386599012
57	0.5362353013
58	0.5339413056
59	0.5318254209
60	0.5297515042
61	0.5276866454
62	0.5256411748
63	0.5237501795
64	0.5218040081
65	0.5199693177
66	0.5182513182
67	0.5165926683
68	0.5149694337
69	0.5133396326
70	0.5118001932
71	0.5103601739
72	0.5089731662
73	0.5075719009
74	0.5062667125
75	0.5049185982
76	0.5035476362
77	0.502274422
78	0.5010782551
79	0.4999604675
80	0.4988647405
81	0.4977955049
82	0.496736491
83	0.4957139272
84	0.4947626574
85	0.4938573228
86	0.4930019927
87	0.4921705121
88	0.4912992854
89	0.4904769368
90	0.4896932185
91	0.4889717665
92	0.4882290379
93	0.4874658806
94	0.4867452719
95	0.4861309142
96	0.4855347351
97	0.4848919771
98	0.4842480035
99	0.4836492572
100	0.4830650078
101	0.4825008838
102	0.4819606328
103	0.4814117123
104	0.4809035285
105	0.4804295562
106	0.4799789705
107	0.479530488
108	0.4791097981
109	0.4786480887
110	0.4782355288
111	0.4777899469
112	0.4774236529
113	0.4770834245
114	0.4767233187
115	0.4763597076
116	0.4760104628
117	0.4756547413
118	0.47530448
119	0.4750224261
120	0.4747442632
121	0.4744392402
122	0.4741643891
123	0.4739034324
124	0.473650162
125	0.4733720976
126	0.4731066505
127	0.4728540594
128	0.4725857885
129	0.4723534657
130	0.4721035744
131	0.4718816071
132	0.4716568239
133	0.4714649987
134	0.4712665331
135	0.4710563313
136	0.4708718388
137	0.4706764455
138	0.4704429795
139	0.470278344
140	0.4701266816
141	0.4699475231
142	0.4697724211
143	0.4696133232
144	0.4694434882
145	0.4692494746
146	0.4690783306
147	0.4689143371
148	0.4687768329
149	0.4686339128
150	0.4684568142
151	0.4683157765
152	0.4681808925
153	0.4680250308
154	0.4678417414
155	0.4676860171
156	0.4675503902
157	0.467461143
158	0.467358998
159	0.4672216876
160	0.467121926
161	0.4670207373
162	0.4669190258
163	0.4667909961
164	0.4666794479
165	0.4665787367
166	0.4664787353
167	0.466372362
168	0.4662316163
169	0.4661280819
170	0.4660392346
171	0.4659297226
172	0.4658378416
173	0.4657253764
174	0.4656268289
175	0.4655112491
176	0.4654153375
177	0.4653028945
178	0.4652136552
179	0.4651161352
180	0.4650129756
181	0.46490339
182	0.4648230434
183	0.4647237098
184	0.4646616207
185	0.464598951
186	0.4645071718
187	0.4644143755
188	0.4643331299
189	0.4642448003
190	0.4641472543
191	0.464063614
192	0.4639779633
193	0.4639052097
194	0.4638241439
195	0.4637319142
196	0.4636454535
197	0.4635733966
198	0.4634944855
199	0.4634324836
200	0.4633433761
201	0.4632839904
202	0.4632256013
203	0.4631416067
204	0.4630392496
205	0.4629854466
206	0.4629069401
207	0.4628612051
208	0.4627758226
209	0.4627008441
210	0.462593125
211	0.4625154224
212	0.462442592
213	0.4623795983
214	0.4623107371
215	0.4622516499
216	0.4621795026
217	0.462117901
218	0.4620523845
219	0.4619842095
220	0.4619357882
221	0.4618817842
222	0.461819121
223	0.4617555239
224	0.4616738972
225	0.4616135143
226	0.4615304607
227	0.4614619022
228	0.4613799904
229	0.4613119321
230	0.4612217986
231	0.461169941
232	0.4611181631
233	0.4610542977
234	0.4609994249
235	0.4609178321
236	0.4608299821
237	0.460781712
238	0.4607260382
239	0.4606504877
240	0.4605617542
241	0.460489025
242	0.4604238262
243	0.4603749679
244	0.4602863333
245	0.4601938807
246	0.4601180717
247	0.460050023
248	0.4599743676
249	0.4599138038
250	0.4598846895
251	0.4598449789
252	0.4597907847
253	0.4597068001
254	0.4596343674
255	0.4595673282
