iter	Passed	Remaining
0	44	354938
1	85	341497
2	132	353807
3	171	342790
4	218	349953
5	257	342623
6	302	345500
7	341	341001
8	387	344180
9	426	340885
10	480	348884
11	525	349886
12	574	353226
13	615	351378
14	662	352734
15	704	351643
16	756	355037
17	795	352544
18	846	355477
19	885	353408
20	935	355547
21	974	353364
22	1029	356949
23	1068	355141
24	1115	355913
25	1155	354273
26	1202	355042
27	1242	353745
28	1290	354687
29	1330	353399
30	1376	353744
31	1425	355030
32	1470	354931
33	1508	353369
34	1552	353198
35	1589	351638
36	1641	353188
37	1678	351794
38	1750	357258
39	1792	356703
40	1838	356842
41	1878	355898
42	1924	356114
43	1964	355144
44	2021	357418
45	2061	356455
46	2108	356771
47	2147	355715
48	2193	355904
49	2233	355079
50	2278	355105
51	2315	353970
52	2361	354042
53	2400	353225
54	2445	353277
55	2485	352519
56	2529	352535
57	2567	351537
58	2614	351909
59	2654	351264
60	2700	351523
61	2753	352520
62	2801	352898
63	2842	352518
64	2888	352652
65	2925	351705
66	2973	352099
67	3010	351170
68	3072	353141
69	3109	352287
70	3163	353287
71	3202	352664
72	3252	353194
73	3289	352326
74	3335	352412
75	3371	351574
76	3415	351405
77	3452	350605
78	3501	351032
79	3536	350142
80	3611	353123
81	3651	352558
82	3698	352782
83	3740	352544
84	3800	353927
85	3838	353209
86	3898	354585
87	3935	353866
88	3981	353881
89	4016	353031
90	4061	353020
91	4107	353096
92	4152	353060
93	4192	352609
94	4238	352698
95	4273	351841
96	4322	352165
97	4370	352397
98	4413	352270
99	4452	351737
100	4507	352506
101	4546	352006
102	4617	354026
103	4655	353495
104	4702	353567
105	4742	353212
106	4808	354716
107	4853	354666
108	4903	354980
109	4941	354468
110	4995	355021
111	5031	354351
112	5076	354313
113	5113	353695
114	5161	353906
115	5199	353402
116	5250	353740
117	5286	353103
118	5341	353735
119	5381	353385
120	5424	353190
121	5463	352767
122	5509	352817
123	5547	352361
124	5604	353109
125	5641	352529
126	5688	352626
127	5749	353570
128	5796	353656
129	5834	353204
130	5879	353189
131	5917	352696
132	5971	353212
133	6011	352913
134	6062	353194
135	6098	352633
136	6154	353216
137	6190	352669
138	6247	353319
139	6305	354029
140	6351	353994
141	6386	353410
142	6431	353384
143	6469	352963
144	6522	353326
145	6560	352922
146	6604	352837
147	6641	352373
148	6692	352632
149	6731	352276
150	6800	353480
151	6837	353025
152	6885	353143
153	6922	352666
154	6981	353349
155	7017	352853
156	7073	353362
157	7117	353245
158	7161	353162
159	7204	353018
160	7240	352543
161	7284	352430
162	7321	352020
163	7375	352409
164	7412	351962
165	7460	352066
166	7495	351568
167	7540	351533
168	7578	351170
169	7626	351263
170	7661	350767
171	7730	351827
172	7767	351439
173	7822	351850
174	7867	351775
175	7914	351834
176	7950	351402
177	7997	351439
178	8034	351058
179	8080	351043
180	8116	350609
181	8163	350676
182	8199	350252
183	8242	350120
184	8276	349641
185	8321	349577
186	8355	349116
187	8402	349133
188	8440	348841
189	8508	349743
190	8546	349431
191	8591	349375
192	8627	348994
193	8685	349464
194	8728	349350
195	8803	350515
196	8838	350084
197	8895	350505
198	8935	350282
199	8987	350493
200	9021	350055
201	9075	350350
202	9111	349953
203	9156	349922
204	9193	349590
205	9238	349519
206	9273	349138
207	9357	350557
208	9395	350227
209	9441	350217
210	9474	349750
211	9521	349785
212	9557	349406
213	9605	349494
214	9642	349160
215	9688	349159
216	9727	348878
217	9812	350265
218	9850	349982
219	9896	349959
220	9933	349664
221	9990	350022
222	10029	349771
223	10097	350516
224	10133	350185
225	10177	350083
226	10212	349697
227	10254	349567
228	10290	349202
229	10332	349074
230	10373	348878
231	10425	349065
232	10461	348742
233	10507	348738
234	10546	348478
235	10592	348474
236	10629	348171
237	10675	348169
238	10718	348067
239	10779	348535
240	10816	348235
241	10871	348522
242	10920	348593
243	10964	348518
244	10999	348179
245	11054	348443
246	11091	348153
247	11134	348058
248	11172	347778
249	11225	348000
250	11262	347716
251	11305	347599
252	11340	347252
253	11382	347125
254	11418	346820
255	11468	346927
256	11504	346607
257	11550	346593
258	11593	346498
259	11637	346430
260	11677	346252
261	11736	346635
262	11780	346567
263	11831	346695
264	11878	346713
265	11921	346621
266	11956	346289
267	12000	346222
268	12038	345981
269	12104	346536
270	12141	346269
271	12184	346187
272	12218	345844
273	12260	345703
274	12296	345422
275	12339	345337
276	12375	345048
277	12416	344893
278	12453	344627
279	12496	344536
280	12533	344301
281	12578	344251
282	12612	343936
283	12658	343924
284	12703	343883
285	12760	344189
286	12804	344102
287	12846	344006
288	12884	343792
289	12931	343811
290	12972	343654
291	13015	343583
292	13049	343245
293	13093	343195
294	13133	343027
295	13182	343093
296	13218	342832
297	13264	342831
298	13304	342677
299	13346	342563
300	13383	342321
301	13426	342250
302	13461	341955
303	13506	341935
304	13542	341680
305	13597	341889
306	13634	341661
307	13676	341568
308	13713	341324
309	13787	342010
310	13824	341795
311	13869	341755
312	13903	341464
313	13950	341465
314	13984	341178
315	14031	341201
316	14070	341014
317	14124	341202
318	14160	340971
319	14214	341159
320	14253	340963
321	14294	340839
322	14329	340583
323	14377	340627
324	14415	340431
325	14458	340356
326	14494	340110
327	14539	340072
328	14574	339826
329	14617	339751
330	14655	339547
331	14708	339712
332	14745	339501
333	14790	339467
334	14825	339214
335	14899	339840
336	14934	339590
337	14981	339600
338	15015	339339
339	15062	339348
340	15099	339133
341	15143	339086
342	15180	338875
343	15233	339023
344	15273	338885
345	15341	339369
346	15375	339111
347	15418	339023
348	15454	338801
349	15512	339062
350	15547	338802
351	15590	338739
352	15629	338579
353	15679	338663
354	15729	338732
355	15776	338755
356	15810	338489
357	15852	338394
358	15887	338143
359	15930	338086
360	15967	337890
361	16012	337853
362	16048	337642
363	16104	337839
364	16149	337810
365	16193	337755
366	16229	337543
367	16270	337439
368	16308	337273
369	16362	337420
370	16411	337472
371	16452	337360
372	16487	337129
373	16536	337178
374	16575	337028
375	16619	336980
376	16656	336806
377	16705	336850
378	16745	336728
379	16797	336837
380	16834	336647
381	16885	336729
382	16924	336585
383	16974	336658
384	17014	336527
385	17060	336532
386	17098	336354
387	17157	336600
388	17191	336355
389	17234	336297
390	17270	336098
391	17317	336100
392	17352	335873
393	17410	336107
394	17449	335951
395	17491	335878
396	17524	335614
397	17574	335688
398	17620	335663
399	17665	335652
400	17703	335476
401	17775	335958
402	17810	335757
403	17856	335733
404	17890	335505
405	17937	335507
406	17975	335349
407	18016	335241
408	18052	335061
409	18096	335002
410	18134	334843
411	18180	334833
412	18219	334699
413	18261	334623
414	18298	334442
415	18344	334430
416	18385	334326
417	18448	334627
418	18484	334435
419	18527	334370
420	18564	334211
421	18609	334178
422	18650	334070
423	18704	334215
424	18744	334093
425	18792	334120
426	18834	334042
427	18886	334138
428	18925	334003
429	18977	334098
430	19011	333865
431	19056	333847
432	19093	333670
433	19162	334057
434	19195	333816
435	19238	333767
436	19272	333535
437	19313	333439
438	19351	333291
439	19393	333222
440	19428	333008
441	19471	332961
442	19505	332737
443	19548	332669
444	19584	332491
445	19637	332605
446	19679	332531
447	19731	332614
448	19766	332420
449	19837	332835
450	19872	332630
451	19916	332589
452	19952	332413
453	20007	332541
454	20045	332396
455	20114	332776
456	20153	332644
457	20197	332600
458	20230	332370
459	20273	332309
460	20309	332130
461	20353	332089
462	20391	331947
463	20446	332080
464	20482	331912
465	20525	331847
466	20561	331676
467	20605	331625
468	20645	331518
469	20700	331647
470	20740	331542
471	20784	331499
472	20821	331336
473	20872	331400
474	20926	331526
475	20969	331457
476	21004	331277
477	21053	331306
478	21090	331145
479	21134	331112
480	21171	330945
481	21227	331096
482	21263	330921
483	21331	331260
484	21367	331080
485	21411	331034
486	21446	330864
487	21501	330982
488	21538	330829
489	21586	330853
490	21625	330719
491	21705	331226
492	21740	331043
493	21783	330986
494	21818	330804
495	21884	331090
496	21919	330908
497	21965	330890
498	22003	330752
499	22049	330738
500	22084	330561
501	22138	330665
502	22174	330494
503	22218	330449
504	22257	330329
505	22301	330287
506	22338	330142
507	22384	330121
508	22419	329949
509	22463	329908
510	22499	329747
511	22544	329712
512	22582	329581
513	22629	329576
514	22667	329448
515	22743	329868
516	22782	329755
517	22836	329849
518	22873	329700
519	22920	329701
520	22955	329524
521	23005	329574
522	23042	329428
523	23089	329426
524	23125	329269
525	23168	329210
526	23207	329085
527	23256	329112
528	23293	328974
529	23345	329038
530	23393	329056
531	23438	329018
532	23474	328866
533	23520	328848
534	23554	328665
535	23609	328765
536	23657	328777
537	23743	329321
538	23782	329197
539	23823	329122
540	23860	328981
541	23903	328912
542	23940	328779
543	23987	328764
544	24023	328618
545	24066	328562
546	24103	328413
547	24148	328380
548	24186	328256
549	24231	328229
550	24266	328054
551	24307	327970
552	24342	327812
553	24416	328168
554	24451	328005
555	24494	327938
556	24529	327777
557	24581	327843
558	24620	327727
559	24673	327810
560	24721	327814
561	24765	327767
562	24812	327767
563	24857	327729
564	24892	327570
565	24938	327555
566	24974	327401
567	25024	327432
568	25062	327311
569	25115	327381
570	25158	327326
571	25206	327325
572	25254	327335
573	25295	327255
574	25331	327102
575	25397	327347
576	25443	327321
577	25494	327367
578	25530	327221
579	25572	327146
580	25627	327251
581	25676	327270
582	25715	327151
583	25769	327239
584	25804	327083
585	25858	327158
586	25894	327015
587	25951	327135
588	25989	327013
589	26031	326942
590	26080	326958
591	26120	326863
592	26154	326683
593	26198	326641
594	26235	326508
595	26282	326498
596	26316	326338
597	26366	326365
598	26408	326292
599	26475	326528
600	26513	326409
601	26558	326383
602	26593	326223
603	26656	326406
604	26694	326288
605	26745	326325
606	26790	326299
607	26839	326313
608	26875	326169
609	26926	326206
610	26962	326064
611	27008	326042
612	27044	325901
613	27089	325863
614	27126	325743
615	27168	325673
616	27203	325519
617	27245	325452
618	27281	325303
619	27333	325356
620	27375	325293
621	27450	325616
622	27486	325473
623	27529	325411
624	27564	325257
625	27627	325437
626	27677	325461
627	27723	325439
628	27761	325320
629	27812	325356
630	27849	325233
631	27897	325232
632	27933	325095
633	27980	325090
634	28023	325028
635	28068	324998
636	28106	324882
637	28151	324843
638	28188	324715
639	28230	324648
640	28265	324502
641	28309	324454
642	28347	324339
643	28421	324643
644	28453	324462
645	28497	324411
646	28534	324282
647	28609	324589
648	28653	324546
649	28729	324867
650	28763	324701
651	28805	324637
652	28839	324478
653	28898	324594
654	28935	324477
655	28976	324396
656	29012	324264
657	29082	324503
658	29115	324335
659	29156	324251
660	29203	324245
661	29247	324196
662	29284	324076
663	29339	324146
664	29374	324000
665	29417	323949
666	29455	323829
667	29511	323917
668	29550	323821
669	29607	323914
670	29644	323788
671	29698	323854
672	29733	323713
673	29791	323814
674	29833	323750
675	29878	323717
676	29912	323558
677	29957	323519
678	29995	323407
679	30036	323338
680	30073	323208
681	30118	323173
682	30150	323008
683	30220	323232
684	30255	323094
685	30298	323040
686	30336	322928
687	30383	322908
688	30424	322833
689	30469	322803
690	30507	322687
691	30551	322648
692	30591	322559
