feature,lgb_importance
battery_mean_scen_max,5355.2
battery_cv_scen_min,4683.8
avg_items_per_order,4539.0
outbound_truck_wait_min_scen_std,4509.4
zone_dispersion,4407.8
layout_compactness,4224.4
manual_override_ratio,4198.8
avg_trip_distance_scen_std,4039.2
one_way_ratio,3912.0
layout_id_te,3896.2
sku_concentration,3834.2
battery_mean_scen_std,3716.8
ceiling_height_m,3697.8
floor_area_sqm,3612.4
battery_mean_scen_min,3538.2
aisle_width_avg,3526.0
outbound_truck_wait_min_scen_min,3516.2
building_age_years,3491.2
precipitation_mm,3424.8
order_inflow_15m_scen_std,3366.4
robot_efficiency_scen_std,3313.4
robot_idle_scen_std,3312.6
pack_utilization_scen_mean,3285.4
battery_cv_scen_mean,3280.0
cold_chain_ratio,3263.8
fire_sprinkler_count,3263.4
daily_forecast_accuracy,3234.6
outbound_truck_wait_min_scen_mean,3232.2
pack_utilization_scen_std,3225.0
warehouse_temp_avg,3203.6
hvac_power_kw,3192.0
external_temp_c,3180.6
robot_density,3179.4
humidity_pct,3174.0
floor_vibration_idx,3153.4
battery_cv_scen_std,3147.6
robot_efficiency_scen_min,3140.8
order_per_station_scen_min,3140.2
lighting_zone_variance,3123.2
barcode_read_success_rate,3120.2
safety_score_monthly,3114.8
outbound_truck_wait_min_scen_max,3103.8
lighting_level_lux,3095.8
quality_check_rate,3071.6
ups_battery_pct,3048.2
return_order_ratio,3031.8
pallet_wrap_time_min,3027.2
wms_response_time_ms,3017.2
cross_dock_ratio,3012.6
avg_package_weight_kg,2999.8
co2_level_ppm,2996.4
storage_density_pct,2993.6
vertical_utilization,2979.2
wind_speed_kmh,2969.4
wifi_signal_db,2956.2
robot_firmware_update_days,2945.4
max_zone_density_scen_mean,2944.2
intersection_count,2942.4
battery_mean_scen_mean,2931.6
inventory_turnover_rate,2919.0
bulk_order_ratio,2860.4
ambient_noise_db,2860.4
avg_idle_duration_min,2847.2
air_quality_idx,2831.2
network_latency_ms,2824.0
battery_cv_scen_max,2799.6
order_per_station_scen_std,2793.8
scanner_error_rate,2789.6
cold_storage_temp_c,2787.6
loading_dock_util,2784.8
agv_task_success_rate,2769.6
fleet_age_months_avg,2766.0
robot_calibration_score,2764.4
dock_to_stock_hours,2759.4
racking_height_avg_m,2755.8
express_lane_util,2724.6
backorder_ratio,2718.8
order_pressure_scen_min,2692.8
order_inflow_15m_scen_min,2692.6
pack_utilization_scen_min,2684.2
pick_list_length_avg,2675.8
risk_index_scen_mean,2663.0
path_optimization_score,2648.0
robot_efficiency_scen_max,2643.4
charge_efficiency_pct,2628.6
packaging_material_cost,2600.0
staging_area_util,2597.8
maintenance_schedule_score,2595.8
intersection_wait_time_avg,2592.0
kpi_otd_pct,2581.2
layout_type_te,2566.0
zone_temp_variance,2550.8
worker_avg_tenure_months,2538.6
shift_handover_delay_min,2537.0
prev_shift_volume,2529.8
conveyor_speed_mps,2528.8
risk_index_scen_std,2503.4
sort_accuracy_pct,2482.2
low_battery_ratio_scen_std,2480.4
battery_cycle_count_avg,2477.2
aisle_traffic_score,2470.4
day_of_week_X_layout_type_te,2382.6
robot_efficiency_scen_mean,2344.2
max_zone_density_scen_std,2343.8
order_inflow_15m_scen_max,2337.2
day_of_week_X_layout_id_te,2324.0
max_zone_density_scen_max,2292.6
battery_std,2278.4
order_inflow_15m_scen_mean,2243.4
low_battery_ratio_scen_max,2235.6
sku_concentration_lag1,2210.8
unique_sku_15m,2162.8
risk_index_scen_max,2146.6
heavy_item_ratio,2110.0
order_per_station_rel_to_scen,2076.2
low_battery_ratio_scen_mean,2043.6
battery_risk_scen_max,2020.6
congestion_score_scen_mean,2010.6
battery_risk_scen_mean,1997.0
robot_idle_scen_mean,1956.6
layout_id_X_shift_hour_te,1934.0
avg_trip_distance_scen_min,1889.8
label_print_queue,1828.8
urgent_order_ratio,1820.0
charger_count,1812.4
congestion_score_scen_std,1810.4
emergency_exit_count,1800.8
layout_id_X_timeslot_te,1798.6
order_per_station_scen_max,1793.2
layout_type_X_shift_hour_te,1723.2
avg_trip_distance_scen_max,1680.6
battery_risk_scen_std,1651.8
staff_on_floor,1637.8
day_of_week_X_shift_hour_te,1629.4
shift_hour_te,1628.0
congestion_score_scen_max,1615.8
day_of_week_te,1599.2
order_wave_count,1551.2
layout_id_X_layout_type_te,1493.2
robot_idle_scen_max,1472.6
pack_utilization_rel_to_scen,1453.0
pack_utilization_scen_max,1446.8
outbound_truck_wait_min_roll5_std,1440.8
sku_concentration_roll3_mean,1436.4
avg_trip_distance_rel_to_scen,1419.4
outbound_truck_wait_min_roll10_std,1416.0
avg_trip_distance,1405.0
avg_trip_distance_roll3_std,1402.8
outbound_truck_wait_min_roll3_std,1390.4
order_per_station_scen_mean,1362.6
congestion_score_scen_min,1347.0
