feature,cat_importance
pack_utilization_scen_mean,2.8103104691816
pack_utilization_scen_std,2.495448382759136
avg_items_per_order,2.092905943749136
layout_compactness,1.9241200956284583
pack_utilization_scen_min,1.815321163960156
order_per_station_roll10_min,1.7596955661187799
battery_cv_scen_min,1.5581140593041458
max_zone_density_scen_mean,1.4849457444021916
zone_dispersion,1.4048912419390436
order_pressure_roll10_std,1.3170748220264767
risk_index_scen_mean,1.2999366301939492
battery_mean_scen_max,1.2757375854256583
robot_efficiency_scen_min,1.271964378840077
order_per_station_scen_std,1.1252636940088991
cold_chain_ratio,1.0202044468870985
order_inflow_15m_scen_std,0.9078002734011179
risk_index_scen_std,0.9043099155330848
robot_efficiency_scen_mean,0.8881043582153012
max_zone_density_exp_mean,0.8874068825607463
order_pressure_scen_max,0.8572880905109306
aisle_width_avg,0.8453868508059706
layout_type_te,0.8451462379922194
congestion_score_scen_min,0.8282818027838668
order_inflow_15m_scen_min,0.7814977925688484
outbound_truck_wait_min_scen_min,0.7653894909500517
outbound_truck_wait_min_scen_std,0.7616587887346756
robot_efficiency_scen_std,0.730902437856854
order_pressure_scen_min,0.7245406075434614
max_zone_density_scen_max,0.7170305673986148
outbound_truck_wait_min_scen_max,0.7160716147484283
order_per_station_roll10_std,0.6870122849926228
battery_cv_scen_mean,0.6817710115235509
order_pressure_scen_std,0.6787970435230054
congestion_score_scen_mean,0.6730601241447346
order_per_station_scen_min,0.6700495143557622
floor_area_sqm,0.666849236827116
ceiling_height_m,0.6654502278153874
outbound_truck_wait_min_scen_mean,0.6605735591566726
battery_mean_scen_min,0.6558066074316298
risk_index,0.6521496138060575
order_per_station_scen_mean,0.645120625064995
max_zone_density,0.6432819499075645
fire_sprinkler_count,0.6412934424614092
battery_cv_scen_max,0.6312751489822958
one_way_ratio,0.6244519499968265
avg_trip_distance_scen_std,0.6225933923750386
order_per_station_scen_max,0.621852174709347
avg_trip_distance_scen_max,0.616923549794756
order_per_station_roll10_max,0.6084915541346607
max_zone_density_scen_std,0.6055078418975437
robot_idle_scen_std,0.6027287275958597
low_battery_ratio_scen_std,0.5994977072906614
building_age_years,0.5819543839462421
avg_trip_distance_scen_min,0.5788956691647126
low_battery_ratio_exp_mean,0.5689979863088326
risk_index_scen_min,0.5617824948810841
order_inflow_15m_scen_mean,0.5592144201509105
order_pressure_scen_mean,0.5556197717806415
low_battery_ratio_scen_max,0.5518548492280668
intersection_count,0.544771599468542
robot_density,0.5441868879359784
robot_idle_scen_mean,0.5439154382991854
battery_mean_scen_std,0.5184967333608904
emergency_exit_count,0.5152797043680273
order_per_station_roll10_mean,0.5069935470597805
max_zone_density_scen_min,0.5068903441208722
order_inflow_15m_scen_max,0.5045033779683324
risk_index_scen_max,0.5028695412331294
robot_efficiency_scen_max,0.47325693385440604
battery_mean_scen_mean,0.4639404387877337
low_battery_ratio_scen_mean,0.45693906512742355
charger_count,0.4502090040465074
avg_trip_distance_scen_mean,0.4443193947979294
avg_trip_distance_lag2,0.43722612223999346
pack_utilization,0.4308822570459097
congestion_score_scen_std,0.4242818059066245
avg_trip_distance,0.4164673458180765
low_battery_ratio_roll10_max,0.4014077912996905
order_pressure_exp_mean,0.3971908937975263
order_per_station,0.3908186184849812
avg_trip_distance_lag3,0.37550657103980545
layout_id_te,0.36191066347833295
order_per_station_exp_mean,0.36096109789179387
layout_type,0.35647131356546885
battery_cv_scen_std,0.3554758638819227
order_pressure_roll5_min,0.3517083399868611
sku_concentration,0.3421717904481072
robot_idle_scen_max,0.33158572237182643
risk_index_exp_mean,0.32807060295653756
avg_trip_distance_roll10_max,0.3276134686667659
avg_trip_distance_roll10_min,0.32105207608979525
pack_utilization_roll10_mean,0.3182422516515434
order_per_station_ewm_mean,0.31679853906960614
sku_concentration_scen_mean,0.3158578717916697
avg_trip_distance_exp_mean,0.304926466094158
avg_trip_distance_lag4,0.29424840769225435
sku_concentration_roll10_max,0.2912639264042898
layout_id_X_layout_type_te,0.28543238361149076
avg_trip_distance_lag5,0.2792350604459739
sku_concentration_lag4,0.27685949826351425
order_pressure_roll5_max,0.27471926537329033
risk_index_roll10_mean,0.27114572484627236
avg_trip_distance_lag1,0.27060812730241496
avg_trip_distance_roll5_mean,0.27014222398209053
order_pressure_roll3_min,0.2657255099054658
order_pressure_ewm_mean,0.2652875015540046
avg_trip_distance_roll5_max,0.2629963157547395
sku_concentration_lag2,0.26208349770769523
congestion_score_rel_to_scen,0.26152512984473625
avg_trip_distance_roll3_mean,0.26110735997747136
manual_override_ratio,0.2573517216668663
sku_concentration_lag1,0.2570051232360616
battery_risk_scen_std,0.25414424200942015
congestion_score_scen_max,0.25049207916345384
sku_concentration_scen_min,0.24639993106432337
sku_concentration_lag3,0.2429922695309029
robot_active_roll10_min,0.2401619634017475
battery_cv_exp_mean,0.23948704587589967
order_pressure,0.2377545544937894
order_pressure_roll3_max,0.23561706407276972
sku_concentration_scen_max,0.23289953761229124
ts_x_congestion_score,0.23141239459579271
sku_concentration_roll5_min,0.22994535320931483
pack_utilization_ewm_mean,0.22965945587510245
battery_risk_scen_mean,0.22751142482601158
avg_trip_distance_ewm_mean,0.22579712666620208
pack_utilization_exp_mean,0.22425008918831849
ops_x_pack,0.2192057126177079
avg_trip_distance_roll3_max,0.21865069332889445
pack_station_count,0.21724483467766528
battery_risk_scen_max,0.2119191224488705
order_per_station_roll5_min,0.2086928435809987
avg_trip_distance_roll3_min,0.2079850254262075
robot_active_roll5_min,0.20776991146997315
pack_utilization_roll10_min,0.20669894168169334
avg_trip_distance_roll10_mean,0.20530401396338815
sku_concentration_roll10_mean,0.20050679973142924
robot_total,0.19974600717788946
robot_per_station,0.1963434336910499
pack_utilization_scen_max,0.1952605035944786
battery_cv_roll10_max,0.19414960246966623
order_per_station_roll5_max,0.19320917645710317
congestion_score_scen_rank,0.19307459642114905
sku_concentration_roll10_min,0.19238702835655988
order_per_station_roll5_mean,0.18916300468014552
order_pressure_roll3_mean,0.18863728195459267
sku_concentration_lag5,0.18860522266879412
sku_concentration_roll5_mean,0.18698929776282647
sku_concentration_roll5_max,0.18447552319963592
bottle_neck,0.18407017989646207
sku_concentration_roll3_max,0.18307092013799148
pack_utilization_scen_rank,0.1826564407009042
sku_concentration_roll3_mean,0.1819493777624359
order_pressure_roll5_std,0.1816966998892043
sku_concentration_roll3_min,0.17719596516013114
robot_total_lag2,0.17268017251292736
avg_trip_distance_roll5_min,0.17209195854587592
robot_total_lag3,0.1674818386656758
robot_idle_roll10_min,0.1657601336055547
robot_active_roll3_min,0.1640884195189835
robot_total_roll5_mean,0.163940941668912
order_pressure_diff2,0.16238401125812674
bottle_neck_exp_mean,0.15799772154727285
robot_idle_roll5_mean,0.15572366100342
max_zone_density_ewm_mean,0.1532747507073348
robot_idle_roll3_min,0.15319676696423948
v13_sqrt_robot_total,0.15241850473644322
order_per_station_roll3_mean,0.15019291453118466
ts_x_pack_utilization,0.1500465545337057
sku_concentration_exp_mean,0.14933950969688342
order_pressure_roll10_max,0.14759406565570488
order_pressure_roll3_std,0.14227638933769043
ts_x_order_per_station,0.13941556683577025
sku_concentration_ewm_mean,0.1382738123791314
congestion_score,0.13505365529630792
ops_x_cong,0.13498349303912233
robot_idle_lag1,0.13395984928992116
pack_utilization_rel_to_scen,0.13310510343770282
co2_level_ppm,0.13189135455883189
