feature,lgb_importance
battery_mean_scen_max,5324.6
battery_cv_scen_min,4734.0
avg_items_per_order,4628.6
outbound_truck_wait_min_scen_std,4571.2
zone_dispersion,4428.0
layout_compactness,4278.6
manual_override_ratio,4245.6
avg_trip_distance_scen_std,4072.4
sku_concentration,3897.2
one_way_ratio,3887.6
layout_id_te,3833.2
battery_mean_scen_std,3756.4
ceiling_height_m,3721.2
floor_area_sqm,3620.6
battery_mean_scen_min,3554.6
outbound_truck_wait_min_scen_min,3540.8
aisle_width_avg,3539.4
precipitation_mm,3463.0
building_age_years,3446.8
robot_efficiency_scen_std,3356.8
order_inflow_15m_scen_std,3345.8
robot_idle_scen_std,3315.2
cold_chain_ratio,3295.6
pack_utilization_scen_mean,3290.0
fire_sprinkler_count,3283.2
outbound_truck_wait_min_scen_mean,3266.4
warehouse_temp_avg,3262.8
floor_vibration_idx,3262.6
pack_utilization_scen_std,3253.0
order_per_station_scen_min,3249.2
daily_forecast_accuracy,3247.8
external_temp_c,3235.2
humidity_pct,3220.6
battery_cv_scen_mean,3209.2
robot_efficiency_scen_min,3195.6
battery_cv_scen_std,3178.2
lighting_zone_variance,3175.0
robot_density,3174.2
lighting_level_lux,3154.0
hvac_power_kw,3154.0
quality_check_rate,3153.8
barcode_read_success_rate,3147.0
ups_battery_pct,3126.6
outbound_truck_wait_min_scen_max,3117.0
safety_score_monthly,3108.6
pallet_wrap_time_min,3073.6
wind_speed_kmh,3067.8
return_order_ratio,3046.4
wms_response_time_ms,3043.8
co2_level_ppm,3043.0
avg_package_weight_kg,3035.6
vertical_utilization,3033.0
cross_dock_ratio,3024.8
storage_density_pct,3022.4
intersection_count,3009.4
wifi_signal_db,3007.0
max_zone_density_scen_mean,2960.0
battery_mean_scen_mean,2937.4
ambient_noise_db,2932.0
robot_firmware_update_days,2931.0
air_quality_idx,2905.2
inventory_turnover_rate,2880.2
network_latency_ms,2877.4
agv_task_success_rate,2859.8
avg_idle_duration_min,2858.2
battery_cv_scen_max,2853.0
order_per_station_scen_std,2845.4
bulk_order_ratio,2844.0
fleet_age_months_avg,2836.6
racking_height_avg_m,2833.4
cold_storage_temp_c,2830.6
robot_calibration_score,2820.0
scanner_error_rate,2796.0
loading_dock_util,2778.0
dock_to_stock_hours,2770.2
express_lane_util,2739.8
backorder_ratio,2739.2
order_inflow_15m_scen_min,2735.8
staging_area_util,2735.8
order_pressure_scen_min,2717.8
risk_index_scen_mean,2692.6
pack_utilization_scen_min,2692.4
robot_efficiency_scen_max,2688.2
intersection_wait_time_avg,2680.0
path_optimization_score,2660.2
packaging_material_cost,2650.4
pick_list_length_avg,2646.6
charge_efficiency_pct,2628.6
maintenance_schedule_score,2622.0
worker_avg_tenure_months,2580.8
kpi_otd_pct,2574.0
shift_handover_delay_min,2573.6
conveyor_speed_mps,2569.8
zone_temp_variance,2546.4
sort_accuracy_pct,2546.2
layout_type_te,2543.4
battery_cycle_count_avg,2535.4
prev_shift_volume,2531.6
aisle_traffic_score,2526.6
risk_index_scen_std,2499.4
low_battery_ratio_scen_std,2489.8
robot_efficiency_scen_mean,2401.6
day_of_week_X_layout_id_te,2387.0
