feature,xgb_importance
target_ewm5,0.0997081458568573
target_ewm3,0.08131527900695801
target_roll5_mean,0.04579021781682968
target_roll10_mean,0.040826272964477536
target_roll3_mean,0.035637255385518075
target_lag1_log,0.03108629584312439
target_lag1,0.027686191350221635
target_lag_max3,0.017365640215575694
target_lag_min3,0.01624170131981373
risk_index_scen_mean,0.013810633681714535
target_lag2,0.010196398384869099
congestion_score_scen_mean,0.007372975093312561
robot_efficiency_exp_mean,0.007268228661268949
max_zone_density_scen_mean,0.006640066253021359
target_lag3,0.006636405736207962
robot_active_exp_mean,0.00607490143738687
robot_total_ewm_mean,0.005935423425398767
ts_x_congestion_score,0.005360079044476151
cong_x_trip,0.005145617062225938
congestion_score_exp_mean,0.004962275759316981
pack_utilization_ewm_mean,0.004776122141629457
battery_cv_scen_std,0.004740494606085122
ops_x_cong,0.004672400187700987
pack_utilization_roll3_mean,0.0046557319350540635
bottle_neck_exp_mean,0.004348116705659777
pack_utilization_scen_mean,0.004154102876782417
risk_index,0.004146383167244494
robot_total_roll10_min,0.004140696057584136
battery_cv_scen_mean,0.003873760940041393
pack_utilization_roll3_min,0.0038456419017165898
battery_risk_scen_mean,0.0037143927067518233
pack_utilization_roll5_mean,0.0035836586263030767
low_battery_ratio_scen_mean,0.0035584250465035437
pack_utilization_scen_min,0.003489859402179718
max_zone_density_exp_mean,0.0034444058081135156
robot_efficiency_roll10_mean,0.0033539682161062958
pack_utilization_exp_mean,0.0030282095074653627
battery_cv_scen_max,0.0029604531126096846
sku_concentration_roll5_max,0.0025948878843337297
max_zone_density,0.002491015358828008
robot_total_roll3_max,0.0024208537419326604
bottle_neck,0.0023171902168542145
pack_utilization_roll10_mean,0.0022757697850465776
low_battery_ratio_scen_std,0.002232176740653813
robot_efficiency_ewm_mean,0.002204928663559258
order_pressure_roll3_max,0.002103317808359861
congestion_score_rel_to_scen,0.002080351230688393
robot_total_roll3_min,0.0020622701616957785
fault_count_15m,0.002052899380214512
risk_index_lag1,0.001983527443371713
order_pressure_roll10_max,0.0019828400341793894
robot_total_roll5_max,0.0019346570363268257
order_per_station_scen_mean,0.0019118618220090866
order_per_station_scen_max,0.0019096302799880504
order_inflow_15m_exp_mean,0.001908689341507852
order_pressure_roll5_max,0.001903023198246956
risk_index_exp_mean,0.0018644555006176234
order_pressure_scen_max,0.0018511777045205236
robot_total_roll5_mean,0.0018386748852208257
congestion_score,0.0018115656916052104
order_per_station_roll10_mean,0.0017912753857672215
order_pressure_scen_mean,0.0017745857359841466
robot_total_roll3_mean,0.0017497034976258874
order_pressure_roll5_mean,0.001741230522748083
pack_utilization_roll5_min,0.0017406818689778448
low_battery_ratio_exp_mean,0.001731811184436083
target_diff1,0.001711117336526513
order_pressure_scen_std,0.0017093286151066422
order_pressure_exp_mean,0.0016898578964173795
order_pressure_roll5_min,0.0016652500489726663
robot_total_roll5_min,0.0016076848085504025
pack_utilization_scen_rank,0.0016025638207793236
target_lag5,0.0016008293488994241
order_pressure,0.0015891120536252856
robot_total_roll10_mean,0.001575705350842327
pack_utilization_lag1,0.0015696945367380977
order_pressure_roll3_mean,0.0015695505077019333
ops_x_pack,0.001543356804177165
risk_index_lag5,0.0015419855015352368
target_lag4,0.0015411386732012034
order_pressure_roll10_mean,0.0015370498411357402
congestion_score_roll10_mean,0.0015345515334047378
target_lag_std3,0.0015286690089851619
order_pressure_roll3_min,0.0015279817627742887
pack_utilization_roll10_min,0.0015039067948237062
order_inflow_15m_roll10_mean,0.0014719138853251934
risk_index_lag3,0.0014680002816021443
order_pressure_ewm_mean,0.0014671931508928537
risk_index_lag4,0.001462800335139036
risk_index_lag2,0.0014383504749275744
avg_recovery_time,0.0014370307791978121
low_battery_ratio_scen_max,0.0014043576084077358
pack_utilization_rel_to_scen,0.0014018864370882512
robot_total_exp_mean,0.0013931007939390837
risk_index_scen_std,0.001391397137194872
robot_idle_exp_mean,0.0013784778770059348
order_per_station_exp_mean,0.0013770525576546789
congestion_score_scen_rank,0.0013695969944819808
pack_utilization_lag2,0.0013627948937937617
order_pressure_roll10_min,0.0013540071435272695
risk_index_roll10_mean,0.0013069784035906196
robot_efficiency_roll10_max,0.0013049186090938747
pack_utilization,0.00130299455486238
order_inflow_15m_roll10_max,0.0013004144770093263
order_per_station,0.0012805377366021276
order_per_station_roll10_max,0.0012354281498119235
ts_x_order_per_station,0.0012279768707230687
battery_mean_scen_min,0.0012205660925246776
risk_index_roll5_min,0.0012199711054563522
order_per_station_ewm_mean,0.001212590781506151
robot_active_roll3_min,0.0012112579657696187
order_per_station_roll10_min,0.0011958476854488254
risk_index_scen_max,0.0011942921206355094
battery_mean_scen_mean,0.0011811412987299263
congestion_score_roll3_min,0.0011715516331605614
low_battery_ratio_roll10_max,0.0011672095861285925
task_reassign_15m,0.0011659033596515655
robot_active_roll10_mean,0.0011622925056144595
robot_idle_roll10_min,0.0011591712944209575
congestion_score_ewm_mean,0.0011582524864934384
ts_x_pack_utilization,0.001157888351008296
order_per_station_scen_std,0.0011565371649339795
max_zone_density_roll3_min,0.0011493382742628455
order_pressure_roll3_std,0.0011365443700924517
battery_risk_roll10_min,0.0011356120463460683
robot_idle_diff1,0.0011196412029676138
risk_index_ewm_mean,0.0011177671025507153
battery_risk_exp_mean,0.0011139706475660205
robot_idle_ewm_mean,0.0011030646623112262
max_zone_density_roll5_min,0.001097083045169711
max_zone_density_lag1,0.0010928988573141395
sku_concentration_roll5_min,0.0010843781055882573
order_pressure_lag1,0.0010783767560496927
order_per_station_roll5_max,0.0010778651922009885
order_pressure_roll5_std,0.0010741383186541498
order_per_station_roll5_mean,0.0010728988447226584
congestion_score_diff1,0.0010718897450715304
max_zone_density_scen_std,0.0010699368081986903
robot_idle_roll10_mean,0.0010642041452229023
congestion_score_lag1,0.0010620413813740015
order_inflow_15m_roll5_max,0.001059151452500373
max_zone_density_roll10_mean,0.0010588506935164332
robot_efficiency_roll3_min,0.0010583384311757982
low_battery_ratio_ewm_mean,0.0010577562148682772
order_pressure_scen_min,0.0010463186772540212
max_zone_density_lag5,0.001039837033022195
order_pressure_roll10_std,0.0010370409465394915
order_per_station_roll5_min,0.0010269274585880338
max_zone_density_roll3_mean,0.0010216702707111836
pack_utilization_lag4,0.0010177757823839784
max_zone_density_lag3,0.0010162190534174441
cong_x_pack,0.0010141435777768493
robot_active_roll3_mean,0.0010112323565408588
order_inflow_15m_scen_mean,0.0010053920676000416
congestion_score_roll3_mean,0.0009988819598220288
congestion_score_roll5_min,0.0009979381109587848
low_battery_ratio_roll10_mean,0.0009924028650857507
order_inflow_15m_ewm_mean,0.000991865841206163
order_per_station_rel_to_scen,0.000990095385350287
robot_per_station,0.0009891749359667301
order_pressure_diff1,0.0009845814434811472
robot_idle_roll3_min,0.0009801873238757253
max_zone_density_scen_max,0.0009775827871635555
avg_trip_distance_scen_mean,0.000973410380538553
robot_idle_roll3_max,0.0009689981816336513
order_per_station_roll3_min,0.0009651524014770985
pack_utilization_lag5,0.0009625558974221349
robot_efficiency_roll3_mean,0.0009616996743716299
bottle_neck_roll10_min,0.0009562954190187156
battery_cv_exp_mean,0.0009546282235532999
pack_utilization_lag3,0.0009533499833196402
robot_idle_roll5_mean,0.0009525184286758304
