q95,q98,low_scale,high95_scale,high98_scale,mae
38.69138354995313,44.471919839973495,1.0,1.0,1.04,8.469445942762926
38.69138354995313,44.471919839973495,1.0,1.0,1.03,8.469735992376824
38.69138354995313,44.471919839973495,0.9975,1.0,1.04,8.469835497860982
38.69138354995313,44.471919839973495,1.0,1.0,1.02,8.470104368119424
38.69138354995313,44.471919839973495,0.9975,1.0,1.03,8.47012554747488
38.69138354995313,44.471919839973495,1.0,1.005,1.04,8.470262494277822
38.69138354995313,44.471919839973495,0.995,1.0,1.04,8.470362219487338
38.69138354995313,44.471919839973495,0.9975,1.0,1.02,8.470493923217479
38.69138354995313,44.471919839973495,1.0,1.005,1.03,8.47055254389172
38.69138354995313,44.471919839973495,1.0,1.0,1.01,8.470553895045493
38.69138354995313,44.471919839973495,0.9975,1.005,1.04,8.470652049375879
38.69138354995313,44.471919839973495,0.995,1.0,1.03,8.470652269101238
38.69138354995313,44.471919839973495,1.0,1.005,1.02,8.47092091963432
38.69138354995313,44.471919839973495,0.9975,1.005,1.03,8.470942098989777
38.69138354995313,44.471919839973495,0.9975,1.0,1.01,8.470943450143551
38.69138354995313,44.471919839973495,0.995,1.0,1.02,8.471020644843835
38.69138354995313,44.471919839973495,0.9925,1.0,1.04,8.471026319248065
38.69138354995313,44.471919839973495,1.0,1.0,1.0,8.471081048573948
38.69138354995313,44.471919839973495,1.0,1.01,1.04,8.471113254252597
38.69138354995313,44.471919839973495,0.995,1.005,1.04,8.471178771002235
38.69138354995313,44.471919839973495,0.9975,1.005,1.02,8.471310474732377
38.69138354995313,44.471919839973495,0.9925,1.0,1.03,8.471316368861961
38.69138354995313,44.471919839973495,1.0,1.005,1.01,8.47137044656039
38.69138354995313,44.471919839973495,1.0,1.01,1.03,8.471403303866495
38.69138354995313,44.471919839973495,0.995,1.005,1.03,8.471468820616133
38.69138354995313,44.471919839973495,0.995,1.0,1.01,8.471470171769905
38.69138354995313,44.471919839973495,0.9975,1.0,1.0,8.471470603672005
38.69138354995313,44.471919839973495,0.9975,1.01,1.04,8.471502809350653
38.69138354995313,44.471919839973495,0.9925,1.0,1.02,8.471684744604561
38.69138354995313,44.471919839973495,0.9975,1.005,1.01,8.471760001658447
38.69138354995313,44.471919839973495,1.0,1.01,1.02,8.471771679609093
38.69138354995313,44.471919839973495,0.9975,1.01,1.03,8.471792858964552
38.69138354995313,44.471919839973495,0.99,1.0,1.04,8.471825343825333
38.69138354995313,44.471919839973495,0.995,1.005,1.02,8.471837196358733
38.69138354995313,44.471919839973495,0.9925,1.005,1.04,8.471842870762961
38.69138354995313,44.471919839973495,0.995,1.0,1.0,8.47199732529836
38.69138354995313,44.471919839973495,1.0,1.015,1.04,8.472005568385866
38.69138354995313,44.471919839973495,0.995,1.01,1.04,8.472029530977007
38.69138354995313,44.471919839973495,0.99,1.0,1.03,8.47211539343923
38.69138354995313,44.471919839973495,0.9925,1.005,1.03,8.47213292037686
38.69138354995313,44.471919839973495,0.9925,1.0,1.01,8.472134271530631
38.69138354995313,44.471919839973495,0.9975,1.01,1.02,8.472161234707151
38.69138354995313,44.471919839973495,1.0,1.01,1.01,8.472221206535163
38.69138354995313,44.471919839973495,0.995,1.005,1.01,8.472286723284801
38.69138354995313,44.471919839973495,1.0,1.015,1.03,8.472295617999766
38.69138354995313,44.471919839973495,0.995,1.01,1.03,8.472319580590908
38.69138354995313,44.471919839973495,0.9975,1.015,1.04,8.472395123483922
38.69138354995313,44.471919839973495,0.99,1.0,1.02,8.47248376918183
38.69138354995313,44.471919839973495,0.9925,1.005,1.02,8.472501296119459
38.69138354995313,44.471919839973495,0.9975,1.01,1.01,8.472610761633222
38.69138354995313,44.471919839973495,0.99,1.005,1.04,8.47264189534023
38.69138354995313,44.471919839973495,0.9925,1.0,1.0,8.472661425059087
38.69138354995313,44.471919839973495,1.0,1.015,1.02,8.472663993742362
38.69138354995313,44.471919839973495,0.9975,1.015,1.03,8.472685173097823
38.69138354995313,44.471919839973495,0.995,1.01,1.02,8.472687956333507
38.69138354995313,44.471919839973495,0.9925,1.01,1.04,8.472693630737734
38.69138354995313,44.471919839973495,0.995,1.015,1.04,8.472921845110278
38.69138354995313,44.471919839973495,1.0,1.02,1.04,8.47292574152814
38.69138354995313,44.471919839973495,0.99,1.005,1.03,8.472931944954126
38.69138354995313,44.471919839973495,0.99,1.0,1.01,8.4729332961079
38.69138354995313,44.471919839973495,0.9925,1.005,1.01,8.472950823045528
38.69138354995313,44.471919839973495,0.9925,1.01,1.03,8.472983680351634
38.69138354995313,44.471919839973495,0.9975,1.015,1.02,8.47305354884042
38.69138354995313,44.471919839973495,0.995,1.01,1.01,8.473137483259576
38.69138354995313,44.471919839973495,0.995,1.015,1.03,8.473211894724177
38.69138354995313,44.471919839973495,1.0,1.02,1.03,8.473215791142039
38.69138354995313,44.471919839973495,0.99,1.005,1.02,8.473300320696726
38.69138354995313,44.471919839973495,0.9975,1.02,1.04,8.473315296626197
38.69138354995313,44.471919839973495,0.9925,1.01,1.02,8.473352056094232
38.69138354995313,44.471919839973495,0.99,1.0,1.0,8.473460449636356
38.69138354995313,44.471919839973495,0.99,1.01,1.04,8.473492655315003
38.69138354995313,44.471919839973495,0.995,1.015,1.02,8.473580270466774
38.69138354995313,44.471919839973495,1.0,1.02,1.02,8.473584166884638
38.69138354995313,44.471919839973495,0.9925,1.015,1.04,8.473585944871004
38.69138354995313,44.471919839973495,0.9975,1.02,1.03,8.473605346240095
38.69138354995313,44.471919839973495,0.99,1.005,1.01,8.473749847622797
38.69138354995313,44.471919839973495,0.99,1.01,1.03,8.473782704928901
38.69138354995313,44.471919839973495,0.9925,1.01,1.01,8.473801583020304
38.69138354995313,44.471919839973495,0.995,1.02,1.04,8.473842018252551
38.69138354995313,44.471919839973495,0.9925,1.015,1.03,8.473875994484903
38.69138354995313,44.471919839973495,0.9975,1.02,1.02,8.473973721982695
38.69138354995313,44.471919839973495,0.995,1.02,1.03,8.474132067866453
38.69138354995313,44.471919839973495,0.99,1.01,1.02,8.4741510806715
38.69138354995313,44.471919839973495,0.9925,1.015,1.02,8.474244370227503
